Psittaciformes,Psitacidae,Eupsittula pertinax,Perico carisucio,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/20_Eupsittula%20pertinax.jpg?raw=true
Psittaciformes,Psitacidae,Forpus xanthopterygius,Periquito azulejo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/21_Forpus%20xanthopterygius.jpg?raw=true
Psittaciformes,Psitacidae,Amazona amazonica,Lora amazónica,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/22_Amazona%20amazonica.jpg?raw=true
Cuculiformes,Cuculidae,Piaya cayana,Cuco-ardilla común,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/23_Piaya%20cayana.jpg?raw=true
Cuculiformes,Cuculidae,Crotophaga ani,Garrapatero o cocinera,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/24_Crotophaga%20ani.jpg?raw=true
Cuculiformes,Cuculidae,Coccyzus americanus,Cuco americano,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/25_Coccyzus%20americanus.jpg?raw=true
Strigiformes,Strigidae,Glaucidium brasilianum,Buhito ferrugíneo o palomita de la muerte,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/26_Glaucidium%20brasilianum.jpg?raw=true
Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,Bujío,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/27_Nyctidromus%20albicollis.jpg?raw=true
Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Chotacabras menor,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/28_Chordeiles%20acutipennis.jpg?raw=true
Apodiformes,Trochilidae,Chlorostilbon gibsoni,Esmeralda piquirroja,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/29_Chlorostilbon%20gibsoni.jpg?raw=true
Apodiformes,Trochilidae,Amazilia tzacatl,Amazilia collirufo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/30_Amazilia%20tzacatl.jpg?raw=true
Apodiformes,Trochilidae,Lepidopyga goudoti,Colibrí de Goudot,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/31_Lepidopyga%20goudoti_Foto%20por%20Hern%C3%A1n%20Arias.jpg?raw=true
Coraciiformes,Alcedinidae,Megaceryle torquata,Martín pescador grande o chana,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/32_Megaceryle%20torquata.jpg?raw=true
Coraciiformes,Momotidae,Momotus subrufescens,Barranquero ferina,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/33_Momotus%20subrufescens.jpg?raw=true
Galbuliformes,Bucconidae,Hypnelus ruficollis,Bobo punteado o pecho de tigre,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/34_Hypnelus%20ruficollis.jpg?raw=true
Galbuliformes,Galbulidae,Galbula ruficauda,Jacamar colirrufo,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/35_Galbula%20ruficauda.jpg?raw=true
Piciformes,Picidae,Melanerpes rubricapillus,Carpintero habado,preocupación menor (LC),https://github.com/Maruda13/PF_aves_caribe/blob/main/static/images/36_Melanerpes%20rubricapillus.jpg?raw=true
